subscriber_id,age,gender,subscription_tenure_months,region,payment_method,support_tickets_raised,satisfaction_score,promo_discount_pct,days_since_last_activity,monthly_spend_eur,churn,live_sports_subscriber,sports_events_watched_month,favourite_live_sport,live_event_spike_signup,stream_quality_preference,bets_placed_total,avg_bet_amount_eur,avg_betting_odds,betting_win_rate,total_stake_eur,total_gain_eur,total_ggr,favourite_sport,preferred_bet_type,betting_enabled,responsible_gambling_flag,betting_profile,game_genre_preference,gaming_playtime_hours_weekly,in_app_purchases_gaming,gaming_sessions_per_week,avg_gaming_session_mins,gaming_engagement_level,ott_gaming_app_used,acquisition_channel,acquisition_campaign_type,ad_spend_eur,ctr,conversion_rate,time_on_site_mins,loyalty_points,roas,used_free_trial,promo_discount_applied,avg_session_duration_mins,titles_watched_per_month,series_completion_rate,content_genre_preference,peak_viewing_hour,primary_device,num_devices_registered,download_feature_used,live_to_vod_ratio,subscription_plan,payment_failures,plan_change_history,data_source
SUB-00011,28.0,Female,46.0,LATAM,Debit Card,2.0,3.0,10.1,289.0,43.24,1,Yes,5.0,F1,No,HD,22.0,166.17,5.25,0.32,3655.8,2114.14,1541.66,Football,single,Yes,No,Regular,Strategy,17.841126559772135,0.0,19.0,84.0,Low,No,SEO,Consideration,6818.376182,0.1282038638,0.0941855196,11.81657854,3717.0,193.24,Yes,No,9.8,68.0,0.72,Documentary,Morning,Smart TV,6.0,Yes,0.27,Standard,0.0,Upgraded,OTT_PLATFORM
SUB-00012,28.0,Female,26.0,LATAM,Credit Card,1.0,8.0,13.15,285.0,54.06,0,No,0.0,Not Applicable,No,4K,19.0,32.11,4.61,0.37,610.1,399.55,210.55,Football,single,Yes,No,Regular,RPG,23.61890031935928,1.0,0.0,10.0,Low,No,SEO,Consideration,3215.80958,0.1420884395,0.177830586,10.70011244,3616.0,427.77,No,No,232.9,10.0,0.44,Reality,Morning,Desktop,1.0,No,0.0,Premium,1.0,Downgraded,OTT_PLATFORM
SUB-00013,41.0,Male,21.0,EMEA,Debit Card,3.0,4.0,13.29,186.0,39.5,0,No,0.0,Not Applicable,No,HD,16.0,85.12,5.11,0.5,1362.0,1483.83,-121.83,Football,single,Yes,No,Regular,Action,19.328903208239264,0.0,18.0,55.0,Medium,Yes,PPC,Retention,3618.881613,0.1885281446,0.02603479027,3.36804042,2503.0,246.57,Yes,No,200.6,14.0,0.63,Kids,Evening,Console,3.0,No,1.0,Family,0.0,No Change,OTT_PLATFORM
SUB-00014,53.0,Female,45.0,LATAM,PayPal,5.0,6.0,15.28,226.0,50.52,0,Yes,3.0,Tennis,No,HD,18.0,177.92,4.4,0.61,3202.65,4574.29,-1371.64,Football,single,Yes,No,Regular,Sports,4.680904119898592,0.0,0.0,75.0,Medium,Yes,Social Media,Awareness,8812.218081,0.2808516671,0.04669285345,10.6138894,853.0,37.75,No,No,54.9,63.0,0.34,Comedy,Evening,Mobile,6.0,No,0.21,Family,0.0,No Change,OTT_PLATFORM
SUB-00015,57.0,Female,26.0,LATAM,PayPal,0.0,10.0,15.32,200.0,61.9,0,Yes,5.0,F1,No,SD,16.0,171.5,3.15,0.44,2744.0,3242.91,-498.91,Football,single,Yes,No,Regular,Simulation,21.59986846156692,0.0,4.0,132.0,Medium,Yes,Referral,Conversion,976.9188333,0.05421405952,0.1642743734,9.422699547,1236.0,22.56,No,No,47.7,2.0,0.3,Thriller,Evening,Mobile,4.0,No,0.66,Standard,0.0,Upgraded,OTT_PLATFORM
SUB-00016,41.0,Male,38.0,APAC,PayPal,0.0,5.925,16.85,11.0,62.68,0,Yes,5.0,F1,No,HD,20.0,356.46,6.68,0.35,7129.25,8272.05,-1142.8,Football,multiple,Yes,Yes,Regular,RPG,0.1310253259460685,0.0,0.0,149.0,Low,No,Social Media,Awareness,1851.905664,0.09577578124,0.1041823725,1.807206627,4654.0,219.33,No,Yes,48.1,68.0,0.58,Documentary,Evening,Mobile,3.0,No,0.93,Premium,0.0,No Change,OTT_PLATFORM
SUB-00017,20.0,Female,44.0,LATAM,PayPal,1.0,8.0,5.37,325.0,54.76,0,Yes,9.0,Football,No,4K,19.0,14.88,7.34,0.42,282.7,259.6,23.1,Football,single,Yes,No,Regular,Action,10.423866593634376,0.0,7.0,108.0,Medium,Yes,Social Media,Awareness,1432.800702,0.1412453131,0.04364021548,14.82213007,1466.0,337.81,Yes,No,76.5,22.0,0.5,Reality,Afternoon,Smart TV,1.0,No,0.6,Basic,0.0,Upgraded,OTT_PLATFORM
SUB-00018,39.0,Female,26.0,AMER,Credit Card,2.0,4.0,19.16,277.0,44.9,0,No,0.0,Not Applicable,No,4K,18.0,168.79,4.69,0.28,3038.2,1241.81,1796.39,Football,single,Yes,No,Regular,Sports,15.755812810302976,0.0,18.0,153.0,High,Yes,PPC,Retention,7442.165452,0.2833702205,0.09706132182,12.09517833,1638.0,167.02,No,Yes,128.3,52.0,0.58,News,Afternoon,Smart TV,3.0,Yes,0.8,Standard,0.0,No Change,OTT_PLATFORM
SUB-00019,19.0,Male,8.0,APAC,Credit Card,2.0,10.0,6.05,3.0,47.89,0,Yes,3.0,F1,No,HD,11.0,724.39,4.33,0.55,7968.3,15579.95,-7611.65,Football,single,Yes,Yes,Casual,Action,6.926827178913354,0.0,19.0,19.0,Medium,Yes,Social Media,Retention,4032.979453,0.08798429185,0.1239207029,5.012759054,2430.0,188.13,No,No,106.5,36.0,0.29,Comedy,Evening,Mobile,3.0,Yes,0.98,Family,0.0,Upgraded,OTT_PLATFORM
SUB-00020,41.0,Female,5.0,APAC,Debit Card,1.0,5.925,12.14,350.0,46.68,0,Yes,6.0,F1,No,HD,21.0,10.57,3.44,0.33,221.9,288.52,-66.62,Football,single,Yes,No,Regular,Sports,16.26472507277258,0.0,17.0,62.0,Medium,Yes,Email,Retention,7055.294371,0.2427472136,0.1672134543,12.30916328,3551.0,327.96,Yes,No,73.4,8.0,0.37,Comedy,Evening,Tablet,6.0,No,0.86,Standard,1.0,Upgraded,OTT_PLATFORM
SUB-00021,61.0,Male,15.0,APAC,Debit Card,5.0,7.0,18.79,278.0,46.76,0,No,0.0,Not Applicable,No,HD,19.0,367.56,4.45,0.68,6983.55,8516.68,-1533.13,Football,multiple,Yes,Yes,Regular,RPG,3.952369275938642,0.0,17.0,121.0,High,Yes,Referral,Retention,8647.235583,0.09250611578,0.1928585464,5.972694452,4460.0,309.65,No,No,148.8,14.0,0.08,Thriller,Evening,Smart TV,3.0,No,0.56,Basic,2.0,No Change,OTT_PLATFORM
SUB-00022,44.0,Male,59.0,EMEA,Debit Card,0.0,5.0,12.32,62.0,55.75,0,Yes,8.0,F1,No,HDR,24.0,86.06,4.52,0.38,2065.55,1653.2,412.35,Football,single,Yes,No,Regular,Action,22.653546725453964,0.0,9.0,169.0,High,Yes,PPC,Consideration,3949.555589,0.1933381186,0.1420434347,1.446299816,2133.0,250.45,No,No,37.8,2.0,0.05,Kids,Morning,Mobile,4.0,No,0.36,Basic,0.0,Upgraded,OTT_PLATFORM
SUB-00023,55.0,Male,16.0,APAC,PayPal,1.0,7.0,5.95,5.0,43.39,0,Yes,11.0,Football,No,4K,21.0,158.17,5.54,0.33,3321.6,1751.87,1569.73,Football,single,Yes,No,Regular,Strategy,18.55327959144355,0.0,19.0,41.0,Medium,Yes,Social Media,Conversion,188.7568267,0.05530346963,0.142303402,7.754513327,3534.0,265.28,Yes,Yes,73.7,69.0,0.25,Thriller,Morning,Desktop,1.0,No,0.48,Standard,0.0,No Change,OTT_PLATFORM
SUB-00024,19.0,Male,1.0,LATAM,Debit Card,2.0,7.0,8.44,9.0,40.91,0,Yes,6.0,Football,No,4K,21.0,87.56,4.95,0.19,1838.8,702.21,1136.59,Football,single,Yes,No,Regular,Simulation,16.25843183116664,0.0,16.0,103.0,High,Yes,SEO,Conversion,4956.378755,0.2056549273,0.1232523313,4.69644166,1272.0,164.87,Yes,No,91.1,16.0,0.07,Drama,Evening,Smart TV,6.0,No,0.84,Basic,0.0,No Change,OTT_PLATFORM
SUB-00025,38.0,Female,16.0,AMER,Credit Card,2.0,10.0,13.68,58.0,53.67,0,No,0.0,Not Applicable,No,4K,13.0,35.55,3.64,0.31,462.1,184.45,277.65,Football,single,Yes,No,Casual,Simulation,14.681061792461696,0.0,7.0,159.0,Medium,Yes,Social Media,Conversion,7311.370851,0.1522225365,0.1274247079,4.180670543,2630.0,434.13,No,No,112.2,25.0,0.1,News,Morning,Smart TV,1.0,Yes,0.85,Standard,0.0,Upgraded,OTT_PLATFORM
SUB-00026,50.0,Male,37.0,APAC,Debit Card,3.0,2.0,6.32,280.0,35.88,0,No,0.0,Not Applicable,No,4K,13.0,11.3,4.65,0.23,146.85,97.75,49.1,Football,multiple,Yes,No,Casual,Strategy,20.839053923076,0.0,19.0,79.0,High,Yes,Email,Retention,7098.627095,0.02721893616,0.09565381938,1.562775263,3405.0,381.46,No,Yes,189.5,20.0,0.81,Drama,Afternoon,Tablet,4.0,Yes,0.85,Standard,0.0,Upgraded,OTT_PLATFORM
SUB-00027,29.0,Male,3.0,APAC,Debit Card,0.0,7.0,11.36,238.0,43.49,1,Yes,3.0,Football,No,HDR,20.0,180.18,5.45,0.25,3603.55,1952.89,1650.66,Football,multiple,Yes,No,Regular,RPG,9.583635613714748,0.0,3.0,83.0,Low,No,Email,Conversion,3867.718517,0.05696310885,0.1438897578,13.83603208,1573.0,208.67,Yes,No,51.9,71.0,0.04,News,Evening,Smart TV,3.0,No,0.6,Standard,0.0,Downgraded,OTT_PLATFORM
SUB-00028,44.0,Female,52.0,AMER,Credit Card,2.0,3.0,9.94,317.0,43.99,0,No,0.0,Not Applicable,No,SD,16.0,372.4,4.9,0.44,5958.45,5706.29,252.16,Football,single,Yes,Yes,Regular,Action,23.84647971202036,0.0,6.0,156.0,Medium,Yes,Referral,Conversion,9320.899089,0.06373868084,0.02755503351,6.005568246,2468.0,428.18,No,No,125.8,20.0,0.66,Drama,Afternoon,Smart TV,3.0,No,0.48,Basic,2.0,No Change,OTT_PLATFORM
SUB-00029,61.0,Male,47.0,APAC,Credit Card,0.0,8.0,17.23,127.0,62.91,0,No,0.0,Not Applicable,No,HDR,22.0,3.85,6.41,0.27,84.7,84.87,-0.17,Football,single,Yes,No,Regular,Action,18.921123790663284,0.0,2.0,64.0,Low,No,Referral,Conversion,7165.354651,0.2962883349,0.152987786,7.8100735,80.0,61.87,No,No,144.2,10.0,0.27,Comedy,Afternoon,Smart TV,6.0,Yes,0.31,Family,2.0,No Change,OTT_PLATFORM
SUB-00030,42.0,Male,31.0,EMEA,PayPal,1.0,8.0,6.65,304.0,52.54,1,Yes,10.0,Football,No,4K,22.0,169.49,4.06,0.32,3728.85,2599.84,1129.01,Football,multiple,Yes,No,Regular,Action,2.7020152238801227,0.0,0.0,164.0,Low,No,Email,Consideration,7824.041955,0.1556664523,0.1741414653,9.351275648,274.0,378.33,Yes,No,15.9,37.0,0.87,Thriller,Late Night,Smart TV,1.0,No,0.0,Premium,1.0,Downgraded,OTT_PLATFORM
SUB-00031,66.0,Male,13.0,LATAM,Credit Card,4.0,9.0,15.24,237.0,49.16,0,No,0.0,Not Applicable,No,HD,29.0,36.92,3.94,0.38,1070.8,874.65,196.15,Football,single,Yes,Yes,Regular,RPG,8.748144446620369,1.0,6.0,36.0,Low,No,Referral,Consideration,3267.117678,0.0715161716,0.07580769173,11.39176654,2039.0,392.0,Yes,Yes,147.8,71.0,0.48,Thriller,Evening,Desktop,3.0,No,0.76,Premium,0.0,No Change,OTT_PLATFORM
SUB-00032,44.0,Male,56.0,AMER,Credit Card,6.0,4.0,11.1,219.0,43.67,1,Yes,6.0,Football,No,4K,15.0,145.19,3.17,0.2,2177.8,2023.15,154.65,Football,single,Yes,No,Regular,Strategy,17.167602538582784,0.0,17.0,109.0,High,Yes,SEO,Retention,8130.11606,0.1051845843,0.01537653362,14.95570492,2506.0,160.91,Yes,No,45.1,34.0,0.31,Drama,Late Night,Mobile,2.0,No,0.28,Premium,0.0,Downgraded,OTT_PLATFORM
SUB-00033,44.0,Female,16.0,AMER,Debit Card,0.0,10.0,13.82,178.0,56.82,0,Yes,12.0,Football,No,4K,19.0,353.76,4.41,0.32,6721.35,6892.01,-170.66,Tennis,single,Yes,Yes,Regular,Strategy,10.570970014974078,0.0,7.0,28.0,Low,No,Referral,Retention,8273.254921,0.01816478347,0.1813697419,14.786777,524.0,70.8,Yes,No,20.3,13.0,0.52,Documentary,Evening,Mobile,3.0,No,0.33,Standard,0.0,No Change,OTT_PLATFORM
SUB-00034,45.0,Male,55.0,EMEA,Credit Card,3.0,3.0,8.08,318.0,43.68,0,No,0.0,Not Applicable,No,4K,23.0,87.07,3.94,0.43,2002.55,1812.37,190.18,Football,single,Yes,No,Regular,Action,14.528814507664364,0.0,5.0,64.0,Medium,Yes,SEO,Retention,5970.298609,0.01984760599,0.1325717045,1.394674376,3170.0,191.71,Yes,No,228.0,13.0,0.38,Thriller,Evening,Mobile,3.0,Yes,0.84,Premium,0.0,Upgraded,OTT_PLATFORM
SUB-00035,33.0,Female,43.0,LATAM,PayPal,0.0,9.0,14.15,149.0,59.86,0,No,0.0,Not Applicable,No,HD,18.0,77.95,4.75,0.44,1403.15,903.78,499.37,Football,single,Yes,No,Regular,Strategy,3.869006111060553,0.0,7.0,166.0,Medium,Yes,Social Media,Conversion,9294.742198,0.2593709121,0.1433306465,1.842527613,4879.0,289.82,Yes,No,231.9,9.0,0.56,Documentary,Afternoon,Console,5.0,Yes,0.05,Family,0.0,Downgraded,OTT_PLATFORM
SUB-00036,32.0,Female,21.0,EMEA,Debit Card,0.0,9.0,15.11,38.0,56.27,0,No,0.0,Not Applicable,No,4K,25.0,35.63,5.03,0.4,890.75,905.9,-15.15,Football,single,Yes,No,Regular,Strategy,19.22841415249192,0.0,1.0,71.0,Low,No,SEO,Awareness,5676.979413,0.03375828114,0.07970167164,4.183312978,1568.0,114.76,Yes,No,195.0,11.0,0.11,Drama,Evening,Smart TV,1.0,Yes,0.93,Basic,0.0,Upgraded,OTT_PLATFORM
SUB-00037,44.0,Male,2.0,LATAM,PayPal,1.0,2.0,6.05,118.0,27.94,1,Yes,10.0,F1,No,SD,16.0,37.86,4.46,0.25,605.8,225.47,380.33,Football,single,Yes,No,Regular,Action,10.88236422325679,0.0,14.0,106.0,Medium,Yes,Email,Awareness,4401.611356,0.249811774,0.130189296,6.161825162,2795.0,339.14,No,Yes,76.6,37.0,1.0,Drama,Afternoon,Smart TV,1.0,Yes,0.0,Basic,0.0,Downgraded,OTT_PLATFORM
SUB-00038,68.0,Male,54.0,EMEA,Credit Card,4.0,6.0,17.37,315.0,56.26,1,Yes,17.0,Football,Yes,4K,19.0,611.34,5.39,0.21,11615.4,12016.29,-400.89,Football,single,Yes,Yes,Regular,Strategy,7.584836022947157,0.0,4.0,57.0,Medium,Yes,Social Media,Consideration,9596.221299,0.2058292274,0.01841276521,3.37362861,3856.0,239.92,Yes,Yes,28.0,33.0,0.43,Drama,Morning,Console,2.0,No,0.94,Premium,0.0,No Change,OTT_PLATFORM
SUB-00039,61.0,Male,27.0,APAC,PayPal,3.0,3.0,17.92,97.0,42.72,0,No,0.0,Not Applicable,No,HDR,20.0,32.29,4.57,0.35,645.85,404.29,241.56,Football,single,Yes,No,Regular,RPG,19.11162572220005,0.0,17.0,110.0,High,Yes,PPC,Consideration,312.4085816,0.2224318867,0.1566162388,6.180524505,1434.0,118.26,Yes,Yes,165.8,40.0,0.35,Reality,Late Night,Console,2.0,No,0.45,Basic,2.0,No Change,OTT_PLATFORM
SUB-00040,69.0,Male,38.0,EMEA,PayPal,0.0,5.0,5.95,17.0,47.53,0,Yes,3.0,F1,No,4K,17.0,143.74,3.48,0.41,2443.6,2297.33,146.27,Football,single,Yes,No,Regular,Strategy,12.057588854495751,0.0,9.0,94.0,Medium,Yes,Email,Awareness,9789.651886,0.1823091133,0.01687459093,13.54573879,2752.0,373.33,Yes,No,108.4,9.0,0.71,Comedy,Evening,Smart TV,2.0,Yes,0.1,Family,0.0,No Change,OTT_PLATFORM
SUB-00041,44.0,Female,26.0,AMER,Credit Card,0.0,5.925,14.05,325.0,40.76,0,Yes,19.0,Football,No,HD,22.0,80.28,3.23,0.55,1766.2,1843.06,-76.86,Football,single,Yes,No,Regular,Strategy,8.638847585829298,0.0,0.0,100.0,Low,No,Referral,Retention,4200.867254,0.1753301144,0.1612380991,3.164311525,61.0,338.29,Yes,No,33.7,16.0,0.36,Comedy,Late Night,Smart TV,1.0,No,0.67,Premium,0.0,No Change,OTT_PLATFORM
SUB-00042,54.0,Female,58.0,AMER,Credit Card,0.0,4.0,13.91,279.0,53.07,0,No,0.0,Not Applicable,No,4K,22.0,677.78,4.62,0.41,14911.2,15133.35,-222.15,Football,single,Yes,Yes,Regular,RPG,12.502444070595626,1.0,5.0,49.0,Low,No,Referral,Awareness,3283.944943,0.1616225053,0.09490301374,14.86634435,4576.0,425.18,No,No,121.4,16.0,0.83,Thriller,Evening,Mobile,5.0,No,0.9,Standard,0.0,No Change,OTT_PLATFORM
SUB-00043,68.0,Female,59.0,AMER,Debit Card,2.0,3.0,5.19,359.0,47.02,1,Yes,12.0,F1,No,HD,19.0,37.86,4.66,0.32,719.4,344.41,374.99,Football,single,Yes,No,Regular,Simulation,4.200206836849012,0.0,19.0,134.0,High,Yes,SEO,Retention,768.2128285,0.238446761,0.1420220956,6.687352127,4549.0,61.09,Yes,No,13.1,66.0,0.45,Documentary,Evening,Smart TV,5.0,No,0.44,Standard,0.0,Downgraded,OTT_PLATFORM
SUB-00044,24.0,Male,38.0,EMEA,Debit Card,4.0,2.0,10.14,154.0,37.94,0,No,0.0,Not Applicable,No,4K,19.0,82.39,3.84,0.47,1565.4,1666.3,-100.9,Football,single,Yes,No,Regular,RPG,16.07650628662454,0.0,16.0,147.0,High,Yes,Email,Consideration,4978.346506,0.2664094218,0.08774761159,14.79287726,759.0,324.73,No,No,218.7,61.0,0.72,Kids,Evening,Mobile,4.0,No,0.69,Premium,0.0,No Change,OTT_PLATFORM
SUB-00045,38.0,Female,46.0,AMER,Debit Card,2.0,6.0,19.53,94.0,55.8,1,Yes,4.0,F1,No,4K,22.0,152.83,4.87,0.45,3362.2,4772.99,-1410.79,Football,single,Yes,No,Regular,Action,6.51436310190227,0.0,2.0,176.0,Medium,Yes,PPC,Conversion,2297.774139,0.1971520373,0.0836930466,13.0729052,2507.0,225.49,Yes,No,65.8,0.0,0.11,Thriller,Evening,Smart TV,1.0,No,0.98,Basic,0.0,Downgraded,OTT_PLATFORM
SUB-00046,26.0,Male,25.0,AMER,Credit Card,3.0,3.0,13.33,175.0,38.75,0,No,0.0,Not Applicable,No,HD,22.0,5.0,5.5,0.45,110.05,158.46,-48.41,Football,single,Yes,No,Regular,Simulation,2.6191117321133888,0.0,19.0,142.0,High,Yes,PPC,Conversion,2538.353834,0.1248271099,0.03771206112,1.555561866,2888.0,335.63,Yes,No,160.7,11.0,0.85,Reality,Evening,Smart TV,4.0,No,0.24,Family,0.0,Downgraded,OTT_PLATFORM
SUB-00047,56.0,Male,11.0,APAC,PayPal,0.0,4.0,19.0,302.0,43.38,0,Yes,13.0,Basketball,No,HD,23.0,161.37,4.51,0.17,3711.6,1057.88,2653.72,Football,single,Yes,No,Regular,Simulation,19.48168069612761,0.0,10.0,56.0,Low,No,PPC,Retention,5775.925315,0.1707119815,0.01228708368,4.944709106,2205.0,183.04,Yes,Yes,78.3,3.0,0.74,Reality,Late Night,Mobile,3.0,No,0.82,Basic,0.0,No Change,OTT_PLATFORM
SUB-00048,35.0,Male,8.0,APAC,PayPal,3.0,6.0,15.13,29.0,42.84,0,No,0.0,Not Applicable,No,4K,14.0,77.11,3.69,0.5,1079.55,1969.72,-890.17,Football,single,Yes,No,Casual,Simulation,11.689979025732324,1.0,8.0,19.0,Low,No,Referral,Awareness,3756.07342,0.2117254223,0.1700723398,7.115457153,1458.0,231.42,No,No,127.2,41.0,0.21,Drama,Morning,Console,2.0,Yes,0.3,Family,0.0,No Change,OTT_PLATFORM
SUB-00049,21.0,Male,8.0,LATAM,Debit Card,5.0,5.0,5.43,34.0,31.46,0,No,0.0,Not Applicable,No,HD,19.0,88.28,4.01,0.32,1677.35,735.61,941.74,Football,single,Yes,No,Regular,RPG,9.637035358459318,0.0,6.0,57.0,Medium,Yes,SEO,Conversion,9116.016457,0.297647248,0.1658024255,14.17379703,3887.0,311.71,No,Yes,133.5,12.0,0.15,Drama,Evening,Mobile,4.0,No,0.43,Basic,0.0,No Change,OTT_PLATFORM
SUB-00050,42.0,Male,33.0,LATAM,Debit Card,2.0,5.925,6.17,10.0,39.84,0,Yes,4.0,Boxing,Yes,4K,22.0,40.21,3.24,0.55,884.6,594.94,289.66,Football,single,Yes,No,Regular,Strategy,21.88192989046821,0.0,13.0,114.0,High,Yes,Referral,Retention,9534.73448,0.2006971129,0.1436547647,1.842270679,1209.0,94.93,No,No,48.4,3.0,0.32,Drama,Evening,Smart TV,6.0,No,0.28,Premium,0.0,No Change,OTT_PLATFORM
SUB-00051,31.0,Female,53.0,LATAM,Credit Card,4.0,4.0,15.83,276.0,48.53,0,No,0.0,Not Applicable,No,HD,24.0,182.5,3.78,0.29,4379.9,2624.74,1755.16,Football,single,Yes,No,Regular,Sports,22.87444587256196,0.0,17.0,123.0,High,Yes,Referral,Retention,414.1602806,0.04856015393,0.1294950252,14.2479345,744.0,113.02,Yes,Yes,232.9,68.0,0.98,Documentary,Afternoon,Console,4.0,Yes,0.45,Basic,1.0,No Change,OTT_PLATFORM
